,ItemID,ItemName,AssembledSword/ArmorParts,Quality,ItemInfo,EquipmentID,ItemImg,StaticMesh,WeaponOrArmor,Armor/WeaponSetName,SwordPart,ArmorCustomValues,CustomWeaponsStruct,RegenHPValue,HardPrice
4,"4","Breiter Griff","(0,0,1,0,1)","(0,0)","Ein breiter Griff welcher meistens für breite Langwaffen genutzt wird.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_SwordGrip.ItemImg_SwordGrip'","StaticMesh'/Game/Geometry/Meshes/ModularSwordKit/ModularSwordKit_Grip03.ModularSwordKit_Grip03'","WeaponPart","none","Griff","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=5.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
5,"5","Kleine Parierstange","(0,1,0,0,1)","(0,0)","Eine kleine aber wirkungsvolle Parierstange","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Parrierstange.ItemImg_Parrierstange'","StaticMesh'/Game/Geometry/Meshes/ModularSwordKit/ModularSwordKit_Parierstange01.ModularSwordKit_Parierstange01'","WeaponPart","none","Parierstange","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=4.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
20,"20","Einfache Parierstange","(0,1,0,0,1)","(0,0)","Einfach und Funktionstüchtig.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Parrierstange.ItemImg_Parrierstange'","StaticMesh'/Game/Geometry/Meshes/ModularSwordKit/ModularSwordKit_Parierstange02.ModularSwordKit_Parierstange02'","WeaponPart","none","Parierstange","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=1.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
6,"6","Große Parierstange","(0,1,0,0,1)","(0,0)","Eine große und wuchtige Parrierstange","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Parrierstange.ItemImg_Parrierstange'","StaticMesh'/Game/Geometry/Meshes/ModularSwordKit/ModularSwordKit_Parierstange03.ModularSwordKit_Parierstange03'","WeaponPart","none","Parierstange","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=6.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
7,"7","Apfel","","(0,0)","Ein gewöhnlicher Apfel","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Apple.ItemImg_Apple'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=5.000000,Stamina=0.000000)","0"
8,"8","Kirsche","","(0,0)","Eine Kirsche. Macht sich gut mit Beeren","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Cherry.ItemImg_Cherry'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=3.000000,Stamina=2.000000)","0"
83,"83","Birne","","(0,0)","Eine Birne. Wächst an Bäumen","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Pear.ItemImg_Pear'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=2.000000,Stamina=2.000000)","0"
84,"84","Holunder","","(0,0)","Hollunder ist etwas was zur Falschen zeit giftig ist.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Holunder.ItemImg_Holunder'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=-1.000000,Stamina=-4.000000)","0"
85,"85","Quitte","","(0,0)","Die Quitte ist ein Birnenartiges Obst.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Quitte.ItemImg_Quitte'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=3.000000,Stamina=3.000000)","0"
86,"86","Rhabarber","","(0,0)","Rhabarber ist vorallem als Kompott genießbar","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Rhabarber.ItemImg_Rhabarber'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=1.000000,Stamina=1.000000)","0"
87,"87","Weintrauben","","(0,0)","Weintrauben sind die Grundlage für Wein","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Traube.ItemImg_Traube'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=4.000000,Stamina=3.000000)","0"
88,"88","Blumenkohl","","(0,0)","Ein Blumenkohl","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_BlumenKohl.ItemImg_BlumenKohl'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=6.000000,Stamina=1.000000)","0"
89,"89","Brokkoli","","(0,0)","Ein Brokoli der vermutlich irgendwo angebaut wird.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Broccoli.ItemImg_Broccoli'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=1.000000,Stamina=1.000000)","0"
90,"90","Erbsen","","(0,0)","Erbsen von einem Strauch","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Pees.ItemImg_Pees'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=1.000000,Stamina=1.000000)","0"
91,"91","Fenchel","","(0,0)","Fenchel... Für eine Suppe?","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Fenchel.ItemImg_Fenchel'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=3.000000,Stamina=1.000000)","0"
92,"92","Kohl","","(0,0)","Ein großer runder Kohlkopf... was man daraus alles machen kann.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Kohl.ItemImg_Kohl'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=5.000000,Stamina=1.000000)","0"
19,"19","Gurke","","(0,0)","Eine Gurke für einen Salat oder vielleicht auch etwas anderes","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Cucumber_png.ItemImg_Cucumber_png'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=3.000000,Stamina=0.000000)","0"
93,"93","Rübe","","(0,0)","Eine Rübe.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Rübe.ItemImg_Rübe'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=1.000000,Stamina=0.000000)","0"
21,"21","Kartoffel","","(0,0)","Eine Kartoffel. Aus ihr kann man viel machen","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Potato.ItemImg_Potato'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=-3.000000,Stamina=0.000000)","0"
22,"22","Knoblauch","","(0,0)","KNOBLAUCH!","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Garlic.ItemImg_Garlic'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=9.000000,Stamina=-3.000000)","0"
23,"23","Kohlrabi","","(0,0)","Kohlrabi ist ein Gemüse welches wild oder auch im Anbau wächst.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Kohlrabi.ItemImg_Kohlrabi'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=2.000000,Stamina=2.000000)","0"
24,"24","Kürbis","","(0,0)","Ein Kürbis. Klein und groß ist beides essbar.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Pumpkin.ItemImg_Pumpkin'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=7.000000,Stamina=2.000000)","0"
25,"25","Paprika","","(0,0)","Paprikas kann man Roh oder verkocht essen.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Paprika.ItemImg_Paprika'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=2.000000,Stamina=0.000000)","0"
26,"26","Lauch","","(0,0)","Lauch. Die grundlage für jede gute Gemüsesuppe","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Leek.ItemImg_Leek'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=3.000000,Stamina=0.000000)","0"
27,"27","Radieschen","","(0,0)","Radieschen sind ein leckeres und manchmal scharfes Gemüse.","-1","Texture2D'/Game/Textures/ItemImages/ItemImage_Radish.ItemImage_Radish'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=2.000000,Stamina=1.000000)","0"
28,"28","Rosenkohl","","(0,0)","Rosenkohl sollte man wohl nur gekocht essen.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Rosenkohl.ItemImg_Rosenkohl'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=1.000000,Stamina=0.000000)","0"
29,"29","Rote Bete","","(0,0)","Rote Bete ist sehr gut roh essbar. Vorallem mit essig.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Beetroot.ItemImg_Beetroot'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=3.000000,Stamina=0.000000)","0"
30,"30","Salat","","(0,0)","Ein Salatkopf. Für welche Art von essen man den wohl hernehmen kann?","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Salad.ItemImg_Salad'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=4.000000,Stamina=0.000000)","0"
31,"31","Tomate","","(0,0)","Eine Tomate. Sonnengereift und saftig.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Tomato.ItemImg_Tomato'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=3.000000,Stamina=0.000000)","0"
32,"32","Weisskohl","","(0,0)","Weißkohl. Wenn man ihn einlegt wird er noch viel besser.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Weißkohl.ItemImg_Weißkohl'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=4.000000,Stamina=0.000000)","0"
33,"33","Zucchini","","(0,0)","Eine Zucchini ist etwas Gurkenähnliches was man mit viel verschiedenem Gemüse verkochen kann.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Zucchini.ItemImg_Zucchini'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=2.000000,Stamina=0.000000)","0"
34,"34","Austernpilze","","(0,0)","Austernpilze wachsen an einem schattigen Plätzchen","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Austernpilz.ItemImg_Austernpilz'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=1.000000,Stamina=3.000000)","0"
35,"35","Champignons","","(0,0)","Champignons wachsen in dichtem Unterholz","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Champignon.ItemImg_Champignon'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=3.000000,Stamina=4.000000)","0"
36,"36","Pfifferlinge","","(0,0)","Pfifferlinge gibt es auf der offenen Fläche oder auch im Wald.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Pfifferling.ItemImg_Pfifferling'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=2.000000,Stamina=2.000000)","0"
37,"37","Steinpilz","(0)","(0,0)","Ein Steinpilz. Eine Rarität und wahrlich gut schmeckend.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_SteinPilz.ItemImg_SteinPilz'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=15.000000,Stamina=15.000000)","0"
38,"38","Trüffel","(0)","(0,0)","EIN TRÜFFEL! Sehr selten, sehr Wertvoll.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Trüffel.ItemImg_Trüffel'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
39,"39","Erdnüsse","(0)","(0,0)","Erdnüsse. Von welchem Händer die wohl sind?","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Erdnuss.ItemImg_Erdnuss'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
40,"40","Haselnüsse","(0)","(0,0)","Haselnüsse von einem Strauch am Waldrand","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Hazelnut.ItemImg_Hazelnut'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
41,"41","Kastanien","(0)","(0,0)","Kastanien von einem Baum","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Kastanie.ItemImg_Kastanie'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
42,"42","Walnüsse","(0)","(0,0)","Walnüsse von einem massiven Walnussbaum.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Walnuss.ItemImg_Walnuss'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
43,"43","Avocado","(0)","(0,0)","Eine Avocado aus Italien.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Avocado.ItemImg_Avocado'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
44,"44","Brombeere","(0)","(0,0)","Brombeeren von einem Brombeerstrauch.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Brombeere.ItemImg_Brombeere'","None","Eddible","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=5.000000,Stamina=0.000000)","0"
45,"45","Erdbeere","(0)","(0,0)","Erdbeeren von einem Erdbeerstrauch.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Strawberry.ItemImg_Strawberry'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
46,"46","Himbeere","(0)","(0,0)","Eine Himbeere lässt sich hervorragend mit anderen Beeren als nachtisch servieren.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Himbeere.ItemImg_Himbeere'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
47,"47","Johannisbeere","(0)","(0,0)","Johannisbeeren sind oft in Marmelade.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Johannisbeere.ItemImg_Johannisbeere'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
48,"48","Stachelbeere","(0)","(0,0)","Stachelbeeren sind selten wild zu finden jedoch sehr lecker.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Stachelbeere.ItemImg_Stachelbeere'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
49,"49","Preiselbeere","(0)","(0,0)","Eine Preiselbeere. Ein feines essen was es meist bei Adligen zum essen mit Fleisch gibt.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Preiselbeere.ItemImg_Preiselbeere'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
50,"50","Blaubeere","(0)","(0,0)","Eine Blaubeere ist hervorragend mit Milch essbar.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Blaubeere.ItemImg_Blaubeere'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
